y,x,b,oy,ox,type
51.989157,4.334158,284.011661,51.989207,4.333833,Matig
52.007427,4.357504,55.854636,52.007453,4.357565,Redelijk
52.007383,4.357674,172.619298,52.007315,4.357689,Redelijk
51.988535,4.333640,263.499731,51.988517,4.333382,Matig
52.007766,4.357215,187.883425,52.007683,4.357197,Redelijk
52.007766,4.357215,292.052720,52.007794,4.357101,Redelijk
51.988771,4.333541,197.844491,51.988650,4.333478,Matig
51.990476,4.333556,289.404159,51.990506,4.333418,Redelijk
51.990476,4.333556,319.491623,51.990548,4.333455,Redelijk
51.990476,4.333556,279.451551,51.990482,4.333493,Redelijk
52.007598,4.357565,241.835236,52.007567,4.357470,Redelijk
52.007766,4.357215,68.174524,52.007783,4.357284,Redelijk
51.990152,4.333674,213.792805,51.990114,4.333633,Matig
51.990040,4.333679,189.127349,51.989560,4.333553,Matig
51.989053,4.333515,2.286176,51.989520,4.333545,Matig
51.989053,4.333515,0.448501,51.989482,4.333521,Matig
51.988305,4.333752,272.409320,51.988310,4.333549,Matig
0.000000,0.000000,3.379822,51.988271,4.333302,Slecht
51.988535,4.333640,216.107880,51.988308,4.333371,Matig
51.988535,4.333640,224.622017,51.988365,4.333368,Matig
51.996833,4.332071,328.635602,51.996883,4.332022,Redelijk
51.990696,4.333048,243.010281,51.990676,4.332984,None
51.991461,4.333334,179.130346,51.991408,4.333335,Slecht
51.991000,4.333392,89.331779,51.991001,4.333540,Matig
51.990900,4.333400,66.089677,51.990913,4.333446,Redelijk
51.990703,4.333475,355.249456,51.990780,4.333464,Matig
51.990810,4.333747,339.872048,51.990883,4.333703,Matig
51.990908,4.333859,197.961070,51.990837,4.333822,Matig
51.990152,4.333674,55.753171,51.990210,4.333812,Matig
51.990152,4.333674,127.198208,51.990123,4.333734,Matig
51.989083,4.332886,318.289840,51.989102,4.332858,Matig
51.995041,4.342210,266.022925,51.995038,4.342151,Redelijk
51.989072,4.333153,285.624901,51.989084,4.333081,Matig
51.984545,4.333604,21.633836,51.984724,4.333719,Matig
51.984499,4.333884,356.126078,51.984748,4.333857,Matig
51.990476,4.333556,240.989028,51.990440,4.333452,Redelijk
51.984925,4.333447,110.008197,51.984896,4.333577,Matig
51.984736,4.333468,19.599922,51.984798,4.333504,Matig
